"","article.id","segment_n","just.dist","season","matrix_type","edge_orient","edge_age_years","AT_var","AT_var_n","varpercent.at","PAR_var","PAR_var_n","varpercent.par","RH_var","RH_var_n","varpercent.rh","SM_var","SM_var_n","varpercent.sm","ST_var","ST_var_n","varpercent.st","VPD_var","VPD_var_n","varpercent.vpd","WS_var","WS_var_n","varpercent.ws"
"1","1",NA,0,"dry","pasture",NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","1",NA,500,"dry","pasture",NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","7","a",-10,"spring","grass",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","7","a",60,"spring","grass",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","7","b",-10,"summer","grass",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","7","b",60,"summer","grass",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","7","c",-10,"fall","grass",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","7","c",60,"fall","grass",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","7","d",-10,"winter","grass",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","7","d",60,"winter","grass",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","8","a",5,NA,"pine.plantation","S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","8","a",50,NA,"pine.plantation","S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","8","a",100,NA,"pine.plantation","S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","8","b",5,NA,"shrubland","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","8","b",50,NA,"shrubland","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","8","b",100,NA,"shrubland","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","8","c",5,NA,"shrubland","S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","8","c",50,NA,"shrubland","S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","8","c",100,NA,"shrubland","S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","8","d",5,NA,"oak.forest","S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","8","d",50,NA,"oak.forest","S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","8","d",100,NA,"oak.forest","S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","10",NA,0,"spring",NA,NA,NA,"SD",2.8,-3,"SD",214,595,"SD",7.8,-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","10",NA,120,"spring",NA,NA,NA,"SD",2.9,0,"SD",30.8,0,"SD",8.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","12","a",-10,"dry","ag.field",NA,NA,"SE",0.37,6,NA,NA,NA,"SE",3.12,120,NA,NA,NA,"SE",0.46,0,NA,NA,NA,NA,NA,NA
"26","12","a",0,"dry","ag.field",NA,NA,"SE",0.38,9,NA,NA,NA,"SE",3.56,151,NA,NA,NA,"SE",0.45,-2,NA,NA,NA,NA,NA,NA
"27","12","a",30,"dry","ag.field",NA,NA,"SE",0.35,0,NA,NA,NA,"SE",1.42,0,NA,NA,NA,"SE",0.46,0,NA,NA,NA,NA,NA,NA
"28","12","b",-10,"dry","ag.field",NA,NA,"SE",0.44,110,NA,NA,NA,"SE",2.05,-49,NA,NA,NA,"SE",0.53,-7,NA,NA,NA,NA,NA,NA
"29","12","b",0,"dry","ag.field",NA,NA,"SE",0.36,71,NA,NA,NA,"SE",1.78,-56,NA,NA,NA,"SE",0.45,-21,NA,NA,NA,NA,NA,NA
"30","12","b",30,"dry","ag.field",NA,NA,"SE",0.21,0,NA,NA,NA,"SE",4.03,0,NA,NA,NA,"SE",0.57,0,NA,NA,NA,NA,NA,NA
"31","12","c",-10,"dry","ag.field",NA,NA,"SE",0.41,24,NA,NA,NA,"SE",2.21,-36,NA,NA,NA,"SE",0.52,100,NA,NA,NA,NA,NA,NA
"32","12","c",0,"dry","ag.field",NA,NA,"SE",0.49,48,NA,NA,NA,"SE",2.37,-32,NA,NA,NA,"SE",0.24,-8,NA,NA,NA,NA,NA,NA
"33","12","c",30,"dry","ag.field",NA,NA,"SE",0.33,0,NA,NA,NA,"SE",3.48,0,NA,NA,NA,"SE",0.26,0,NA,NA,NA,NA,NA,NA
"34","13",NA,0,"wet","sandscrub",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","13",NA,10,"wet","sandscrub",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","13",NA,20,"wet","sandscrub",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","13",NA,30,"wet","sandscrub",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","13",NA,40,"wet","sandscrub",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","13",NA,50,"wet","sandscrub",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","14",NA,0,"dry","pasture",NA,NA,"SD",2.2,22,NA,NA,NA,"SD",18.1,11,NA,NA,NA,"SD",1.3,44,NA,NA,NA,NA,NA,NA
"41","14",NA,40,"dry","pasture",NA,NA,"SD",2.1,17,NA,NA,NA,"SD",17.2,6,NA,NA,NA,"SD",1,11,NA,NA,NA,NA,NA,NA
"42","14",NA,80,"dry","pasture",NA,NA,"SD",1.8,0,NA,NA,NA,"SD",16.5,1,NA,NA,NA,"SD",0.9,0,NA,NA,NA,NA,NA,NA
"43","14",NA,120,"dry","pasture",NA,NA,"SD",1.7,-6,NA,NA,NA,"SD",16.2,-1,NA,NA,NA,"SD",0.9,0,NA,NA,NA,NA,NA,NA
"44","14",NA,160,"dry","pasture",NA,NA,"SD",1.8,0,NA,NA,NA,"SD",16.3,0,NA,NA,NA,"SD",0.9,0,NA,NA,NA,NA,NA,NA
"45","15","a",-10,"summer","field","S",5,"SD",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD",0,-100,NA,NA,NA
"46","15","a",0,"summer","field","S",5,"SD",3.21,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD",0.17,70,NA,NA,NA
"47","15","a",5,"summer","field","S",5,"SD",1.48,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD",0.27,170,NA,NA,NA
"48","15","a",10,"summer","field","S",5,"SD",0.99,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD",0.2,100,NA,NA,NA
"49","15","a",20,"summer","field","S",5,"SD",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD",0.2,100,NA,NA,NA
"50","15","a",30,"summer","field","S",5,"SD",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD",0.17,70,NA,NA,NA
"51","15","a",40,"summer","field","S",5,"SD",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD",0.15,50,NA,NA,NA
"52","15","a",50,"summer","field","S",5,"SD",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD",0.1,0,NA,NA,NA
"53","15","b",-10,"summer","field","N",5,"SD",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD",0,-100,NA,NA,NA
"54","15","b",0,"summer","field","N",5,"SD",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD",0.15,-12,NA,NA,NA
"55","15","b",5,"summer","field","N",5,"SD",2.41,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD",0.12,-29,NA,NA,NA
"56","15","b",10,"summer","field","N",5,"SD",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD",0.17,0,NA,NA,NA
"57","15","b",20,"summer","field","N",5,"SD",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD",0.2,18,NA,NA,NA
"58","15","b",30,"summer","field","N",5,"SD",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD",0.2,18,NA,NA,NA
"59","15","b",40,"summer","field","N",5,"SD",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD",0.2,18,NA,NA,NA
"60","15","b",50,"summer","field","N",5,"SD",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD",0.17,0,NA,NA,NA
"61","15","c",-10,"summer","field","S",NA,"SD",0,-100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD",0,-100,NA,NA,NA
"62","15","c",0,"summer","field","S",NA,"SD",0.98,-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD",0.17,70,NA,NA,NA
"63","15","c",5,"summer","field","S",NA,"SD",0,-100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD",0.15,50,NA,NA,NA
"64","15","c",10,"summer","field","S",NA,"SD",0,-100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD",0.15,50,NA,NA,NA
"65","15","c",20,"summer","field","S",NA,"SD",1.46,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD",0.12,20,NA,NA,NA
"66","15","c",30,"summer","field","S",NA,"SD",0,-100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD",0.15,50,NA,NA,NA
"67","15","c",40,"summer","field","S",NA,"SD",0,-100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD",0.19,90,NA,NA,NA
"68","15","c",50,"summer","field","S",NA,"SD",1.22,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD",0.1,0,NA,NA,NA
"69","15","d",-10,"summer","young.successional.forest","N",NA,"SD",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD",0,-100,NA,NA,NA
"70","15","d",0,"summer","young.successional.forest","N",NA,"SD",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD",0.41,21,NA,NA,NA
"71","15","d",5,"summer","young.successional.forest","N",NA,"SD",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD",0.34,0,NA,NA,NA
"72","15","d",10,"summer","young.successional.forest","N",NA,"SD",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD",0.36,6,NA,NA,NA
"73","15","d",20,"summer","young.successional.forest","N",NA,"SD",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD",0.31,-9,NA,NA,NA
"74","15","d",30,"summer","young.successional.forest","N",NA,"SD",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD",0.27,-21,NA,NA,NA
"75","15","d",40,"summer","young.successional.forest","N",NA,"SD",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD",0.31,-9,NA,NA,NA
"76","15","d",50,"summer","young.successional.forest","N",NA,"SD",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD",0.34,0,NA,NA,NA
"77","19","a",-10,"summer",NA,NA,19,"SE",0.11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","19","a",-5,"summer",NA,NA,19,"SE",0.11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","19","a",0,"summer",NA,NA,19,"SE",0.15,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","19","a",5,"summer",NA,NA,19,"SE",0.09,-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","19","a",10,"summer",NA,NA,19,"SE",0.13,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","19","a",20,"summer",NA,NA,19,"SE",0.07,-36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","19","a",30,"summer",NA,NA,19,"SE",0.11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","19","b",-10,"summer",NA,NA,4,"SE",0.28,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","19","b",-5,"summer",NA,NA,4,"SE",0.31,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","19","b",0,"summer",NA,NA,4,"SE",0.13,-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","19","b",5,"summer",NA,NA,4,"SE",0.15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","19","b",10,"summer",NA,NA,4,"SE",0.09,-40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","19","b",20,"summer",NA,NA,4,"SE",0.15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","19","b",30,"summer",NA,NA,4,"SE",0.15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","20",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SE",0.72,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","20",NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SE",0.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","24",NA,-10,"dry","pasture","S",NA,"SD",1.83,31,NA,NA,NA,"SD",2.6,46,NA,NA,NA,"SD",1.69,-52,NA,NA,NA,NA,NA,NA
"94","24",NA,0,"dry","pasture","S",NA,"SD",2.04,46,NA,NA,NA,"SD",2.38,34,NA,NA,NA,"SD",3.91,10,NA,NA,NA,NA,NA,NA
"95","24",NA,10,"dry","pasture","S",NA,"SD",1.72,23,NA,NA,NA,"SD",2.47,39,NA,NA,NA,"SD",3.17,-10,NA,NA,NA,NA,NA,NA
"96","24",NA,25,"dry","pasture","S",NA,"SD",0.87,-38,NA,NA,NA,"SD",1.4,-21,NA,NA,NA,"SD",3.78,7,NA,NA,NA,NA,NA,NA
"97","24",NA,40,"dry","pasture","S",NA,"SD",1.03,-26,NA,NA,NA,"SD",1.85,4,NA,NA,NA,"SD",6.19,75,NA,NA,NA,NA,NA,NA
"98","24",NA,55,"dry","pasture","S",NA,"SD",1.29,-8,NA,NA,NA,"SD",2.15,21,NA,NA,NA,"SD",3.09,-13,NA,NA,NA,NA,NA,NA
"99","24",NA,70,"dry","pasture","S",NA,"SD",0.98,-30,NA,NA,NA,"SD",2.53,42,NA,NA,NA,"SD",1,-72,NA,NA,NA,NA,NA,NA
"100","24",NA,85,"dry","pasture","S",NA,"SD",1.4,0,NA,NA,NA,"SD",1.78,0,NA,NA,NA,"SD",3.54,0,NA,NA,NA,NA,NA,NA
"101","25",NA,0,NA,"grassland",NA,NA,"V",9.16,1662,NA,NA,NA,NA,NA,NA,"V",74.8,3097,"V",1.85,9150,NA,NA,NA,"V",1.37,407
"102","25",NA,30,NA,"grassland",NA,NA,"V",7.89,1417,NA,NA,NA,NA,NA,NA,"V",16.13,589,"V",0.82,4000,NA,NA,NA,"V",1.38,411
"103","25",NA,60,NA,"grassland",NA,NA,"V",5.57,971,NA,NA,NA,NA,NA,NA,"V",28.89,1135,"V",0.93,4550,NA,NA,NA,"V",0.06,-78
"104","25",NA,90,NA,"grassland",NA,NA,"V",2.79,437,NA,NA,NA,NA,NA,NA,"V",10.57,352,"V",1.28,6300,NA,NA,NA,"V",0.09,-67
"105","25",NA,120,NA,"grassland",NA,NA,"V",0.59,13,NA,NA,NA,NA,NA,NA,"V",8.22,251,"V",0.26,1200,NA,NA,NA,"V",0.09,-67
"106","25",NA,150,NA,"grassland",NA,NA,"V",0.52,0,NA,NA,NA,NA,NA,NA,"V",2.34,0,"V",0.02,0,NA,NA,NA,"V",0.27,0
"107","30","a",-10,"summer","field","NE",0.5,"SE",1.63,43,"SE",250.89,424,"SE",4.77,-27,"SE",1.75,-13,"SE",0.56,-19,NA,NA,NA,NA,NA,NA
"108","30","a",-5,"summer","field","NE",0.5,"SE",1.31,15,"SE",247.05,416,"SE",5.77,-12,"SE",2.43,20,"SE",0.86,25,NA,NA,NA,NA,NA,NA
"109","30","a",0,"summer","field","NE",0.5,"SE",1.06,-7,"SE",53.63,12,"SE",5.44,-17,"SE",1.81,-10,"SE",1.17,70,NA,NA,NA,NA,NA,NA
"110","30","a",5,"summer","field","NE",0.5,"SE",1.3,14,"SE",130.23,172,"SE",5.66,-14,"SE",1.88,-7,"SE",0.81,17,NA,NA,NA,NA,NA,NA
"111","30","a",10,"summer","field","NE",0.5,"SE",1.47,29,"SE",90.01,88,"SE",5.67,-13,"SE",1.47,-27,"SE",0.73,6,NA,NA,NA,NA,NA,NA
"112","30","a",15,NA,NA,NA,NA,NA,NA,NA,"SE",107.25,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","30","a",20,"summer","field","NE",0.5,"SE",0.97,-15,"SE",107.25,124,"SE",5.77,-12,"SE",2.08,3,"SE",1.12,62,NA,NA,NA,NA,NA,NA
"114","30","a",25,NA,NA,NA,NA,NA,NA,NA,"SE",42.14,-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","30","a",30,"summer","field","NE",0.5,"SE",1.14,0,"SE",36.39,-24,"SE",6.55,0,"SE",2.02,0,"SE",0.69,0,NA,NA,NA,NA,NA,NA
"116","30","a",35,NA,NA,NA,NA,NA,NA,NA,"SE",47.88,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","30","b",-10,"summer","meadow","NW",0.5,"SE",2.28,8,"SE",38.3,-17,"SE",4.89,110,"SE",2.15,162,"SE",1.3,128,NA,NA,NA,NA,NA,NA
"118","30","b",-5,"summer","meadow","NW",0.5,"SE",1.79,-16,"SE",214.5,367,"SE",4.33,86,"SE",1.43,74,"SE",1.34,135,NA,NA,NA,NA,NA,NA
"119","30","b",0,"summer","meadow","NW",0.5,"SE",1.62,-24,"SE",55.54,21,"SE",2.55,9,"SE",0.58,-29,"SE",0.9,58,NA,NA,NA,NA,NA,NA
"120","30","b",5,"summer","meadow","NW",0.5,"SE",0.9,-58,"SE",135.98,196,"SE",1.89,-19,"SE",0.55,-33,"SE",0.56,-2,NA,NA,NA,NA,NA,NA
"121","30","b",10,"summer","meadow","NW",0.5,"SE",1.14,-46,"SE",107.25,133,"SE",2.11,-9,"SE",0.95,16,"SE",0.78,37,NA,NA,NA,NA,NA,NA
"122","30","b",15,"summer","meadow","NW",0.5,"SE",1.87,-12,"SE",88.09,92,"SE",3.11,33,"SE",1.33,62,"SE",0.39,-32,NA,NA,NA,NA,NA,NA
"123","30","b",20,NA,NA,NA,NA,NA,NA,NA,"SE",201.09,338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","30","b",25,"summer","meadow","NW",0.5,"SE",1.3,-39,"SE",111.08,142,"SE",3.33,43,"SE",1.27,55,"SE",0.57,0,NA,NA,NA,NA,NA,NA
